Rank,Symbol,Name,Price,24h Change,24h Volume,Market Cap,Chain,Contract Address
62,MERL,Merlin Chain,$0.0308,-15.56%,221.12K,38.09M,BSC,0xa0c56a8c0692bd10b3fa8f8ba79cf5332b7107f9
63,CROSS,CROSS Protocol,$0.0955,-3.51%,1.17M,39.26M,BSC,0x6bf62ca91e397b5a7d1d6bce97d9092065d7a510
64,SQD,Subsquid,$0.0377,-10.82%,317.16K,39.48M,BSC,0xe50e3d1a46070444f44df911359033f2937fcc13
65,NAORIS,Naoris Protocol,$0.0328,-43.85%,397.66K,41.36M,BSC,0x1b379a79c91a540b2bcd612b4d713f31de1b80cc
66,JCT,Janction,$0.0036,-21.87%,3.04M,41.63M,BSC,0xea37a8de1de2d9d10772eeb569e28bfa5cb17707
67,B2,BSquared Network,$0.6185,2.79%,2.15M,45.87M,BSC,0x783c3f003f172c6ac5ac700218a357d2d66ee2a2
68,OPG,OpenGradient,$0.2416,-11.09%,14.55M,45.90M,BSC,0x5feccd17c393caf1001d18164236a37e731fcb9d
69,MEW,cat in a dogs world,$0.0006,-8.50%,238.91K,49.61M,Solana,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
70,VELVET,Velvet,$0.1164,11.85%,53.03K,50.24M,BSC,0x8b194370825e37b33373e74a41009161808c1488
71,MAGMA,Magma Finance,$0.2075,-0.44%,476.76K,50.44M,Sui,0x9f854b3ad20f8161ec0886f15f4a1752bf75d22261556f14cc8d3a1c5d50e529::magma::MAGMA
72,MOODENG,Moo Deng,$0.0523,-8.26%,256.57K,51.81M,Solana,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY
73,KGEN,KGeN,$0.2459,3.30%,717.28K,55.97M,BSC,0xf3d5b4c34ed623478cc5141861776e6cf7ae3a1e
74,MYX,MYX Finance,$0.1890,-11.99%,744.46K,56.21M,BSC,0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16
75,POPCAT,Popcat,$0.0577,-7.74%,255.28K,56.51M,Solana,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr
76,USELESS,USELESS COIN,$0.0570,-11.68%,61.39K,56.95M,BSC,0xba38b3c706f7a515ff7c8db04daa0a134ec46d2b
77,BAS,BNB Attestation,$0.0253,-5.81%,3.61M,63.19M,BSC,0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37
78,ZORA,Zora,$0.0112,-9.75%,552.14K,63.50M,Base,0x1111111111166b7fe7bd91427724b487980afc69
79,PLAY,PlaysOut,$0.0871,-20.22%,4.88M,64.66M,Base,0x853a7c99227499dba9db8c3a02aa691afdebf841
80,ELSA,HeyElsa,$0.0654,-5.47%,313.70K,65.43M,Base,0x29cc30f9d113b356ce408667aa6433589cecbdca
81,ALCH,Alchemist AI,$0.0805,-3.24%,163.42K,68.47M,Solana,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump
82,UAI,UnifAI Network,$0.2260,-6.95%,879.75K,70.09M,BSC,0x3e5d4f8aee0d9b3082d5f6da5d6e225d17ba9ea0
83,ZETA,Zeta,$0.0505,-7.81%,4.66K,71.32M,Ethereum,0xf091867ec603a6628ed83d274e835539d82e9cc8
84,GRASS,Grass,$0.3003,-10.09%,24.76K,73.24M,Solana,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs
85,TOSHI,Toshi,$0.0002,-6.98%,65.54K,73.96M,BSC,0x6a2608dabe09bc1128eec7275b92dfb939d5db3f
86,BSB,Block Street,$0.3740,-9.04%,4.11M,77.69M,BSC,0x595deaad1eb5476ff1e649fdb7efc36f1e4679cc
87,COAI,ChainOpera AI,$0.3034,-4.29%,1.58M,78.07M,BSC,0x0a8d6c86e1bce73fe4d0bd531e1a567306836ea5
88,SOON,SOON,$0.1603,-7.20%,1.17M,78.33M,BSC,0xb9e1fd5a02d3a33b25a14d661414e6ed6954a721
89,ICNT,Impossible Cloud Network,$0.3131,-10.48%,117.84K,79.22M,Base,0xe0cd4cacddcbf4f36e845407ce53e87717b6601d
90,SKR,Seeker,$0.0149,-6.55%,279.12K,79.88M,Solana,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3
91,CYS,Cysic,$0.5102,2.97%,5.42M,82.03M,BSC,0x0c69199c1562233640e0db5ce2c399a88eb507c7
92,Q,Quack AI,$0.0220,-1.21%,3.44M,86.51M,BSC,0xc07e1300dc138601fa6b0b59f8d0fa477e690589
93,TAIKO,Taiko Token,$0.1134,4.17%,15.52,95.03M,BSC,0x30c60b20c25b2810ca524810467a0c342294fc61
94,TAC,TAC,$0.0222,2.64%,1.13M,101.83M,BSC,0x1219c409fabe2c27bd0d1a565daeed9bd9f271de
95,TRIA,Tria,$0.0476,-0.28%,13.08M,102.81M,BSC,0xb0b92de23baa85fb06208277e925ced53edab482
96,PHAROS,Pharos,$0.7598,-3.95%,4.16M,103.03M,Base,0x8b7dde054be9d180c1be7fae0874697374a49832
97,SAFE,Safe Token,$0.1383,-5.66%,27.06K,112.16M,Ethereum,0x5afe3855358e112b5647b952709e6165e1c1eeee
98,FLUID,Fluid,$1.5556,-9.01%,85.86K,121.25M,Ethereum,0x6f40d4a6237c257fff2db00fa0510deeecd303eb
99,TAG,Tagger,$0.0011,-8.48%,1.55M,123.78M,BSC,0x208bf3e7da9639f1eaefa2de78c23396b0682025
100,IRYS,Irys,$0.0518,-19.74%,20.18M,132.85M,BSC,0x91152b4ef635403efbae860edd0f8c321d7c035d
101,RAVE,RaveDAO,$0.5483,-15.33%,6.15M,138.77M,BSC,0x97693439ea2f0ecdeb9135881e49f354656a911c
102,GENIUS,Genius,$0.4589,-11.15%,2.99M,153.92M,BSC,0x1f12b85aac097e43aa1555b2881e98a51090e9a6
103,BEAT,Audiera,$0.6189,0.07%,3.53M,165.11M,BSC,0xcf3232b85b43bca90e51d38cc06cc8bb8c8a3e36
104,IP,Story,$0.4953,-4.75%,361.59K,175.51M,BSC,0x4d6394bc3031f751edce368c189b0e060b527107
105,PIEVERSE,Pieverse,$0.8877,-7.13%,6.49M,239.45M,BSC,0x0e63b9c287e32a05e6b9ab8ee8df88a2760225a9
106,GWEI,ETHGas,$0.1541,-2.39%,22.88K,269.69M,BSC,0x30117e4bc17d7b044194b76a38365c53b72f7d49
107,SKYAI,SKYAI,$0.2746,-25.71%,11.42M,274.60M,BSC,0x92aa03137385f18539301349dcfc9ebc923ffb10
108,SPX,SPX6900,$0.3688,-11.75%,1.08M,343.35M,Ethereum,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c
109,GUA,SUPERFORTUNE,$1.4389,13.58%,378.82K,349.13M,BSC,0xa5c8e1513b6a08334b479fe4d71f1253259469be
110,B,BUILDon,$0.3584,-21.86%,12.43M,358.35M,BSC,0x6bdcce4a559076e37755a78ce0c06214e59e4444
111,SIREN,SIREN,$0.4944,-5.98%,3.19M,359.32M,BSC,0x997a58129890bbda032231a52ed1ddc845fc18e1
112,BILL,Billions Network,$0.1483,-32.33%,24.37M,360.06M,BSC,0xdf24f8c21cb404b3031a450d8e049d6e39fc1fa5
113,RIVER,River,$7.1845,-6.32%,4.53M,367.04M,BSC,0xda7ad9dea9397cffddae2f8a052b82f1484252b3
114,ESPORTS,Yooldo,$0.6977,-2.82%,2.07M,382.96M,BSC,0xf39e4b21c84e737df08e2c3b32541d856f508e48
115,AERO,Aerodrome,$0.4260,-7.75%,7.52M,399.40M,Base,0x940181a94a35a4569e4529a3cdfb74e38fd98631
116,EDGE,edgeX,$1.2066,-10.60%,1.26M,422.30M,BSC,0x70f2eadf1ca1969ff42b0c78e9da519e8937cbaf
117,VVV,Venice Token,$12.9086,-10.30%,6.54M,595.48M,Base,0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf
118,H,Humanity Protocol,$0.2190,-12.13%,5.26M,597.21M,BSC,0x44f161ae29361e332dea039dfa2f404e0bc5b5cc
119,UB,Unibase,$0.2004,-14.14%,25.93M,688.97M,BSC,0x40b8129b786d766267a7a118cf8c07e31cdb6fde
120,STABLE,Stable,$0.0312,-18.20%,4.00M,707.86M,BSC,0x011ebe7d75e2c9d1e0bd0be0bef5c36f0a90075f
121,LAB,LAB,$4.7798,16.57%,3.26M,2.03B,BSC,0x7ec43cf65f1663f820427c62a5780b8f2e25593a
122,M,MemeCore,$3.1398,-3.55%,41.44K,6.66B,BSC,0x22b1458e780f8fa71e2f84502cee8b5a3cc731fa
